"date","par.mean","par.min","par.max"
2002-10-18 12:00:00,36.802738888735,1.266,43.73
2002-10-19 12:00:00,35.6359323833826,0.344,43.38
2002-10-20 12:00:00,34.4803032268376,0.372,43.126
2002-10-21 12:00:00,27.4899521368097,0.292,42.79
2002-10-22 12:00:00,30.1537612898328,0.26,42.338
2002-10-23 12:00:00,35.257655764039,0.762,42.334
2002-10-24 12:00:00,22.1744969605,0.252,41.834
2002-10-25 12:00:00,31.0898784420259,1.126,41.622
2002-10-26 12:00:00,31.4185070790677,0.252,41.43
2002-10-27 12:00:00,34.8021180394053,1.11,41.314
2002-10-28 12:00:00,33.6765562091338,0.234,41.034
2002-10-29 12:00:00,34.2962859354687,0.454,40.626
2002-10-30 12:00:00,28.6728888627217,0.236,40.342
2002-10-31 12:00:00,31.3413858868805,0.386,39.528
2002-11-01 12:00:00,20.708481719779,1.112,39.7
2002-11-02 12:00:00,30.3869761183108,0.248,39.066
2002-11-03 12:00:00,29.7923967485008,1.114,39.45
2002-11-04 12:00:00,24.5786814625807,0.216,39.222
2002-11-05 12:00:00,29.8409954660161,0.256,38.806
2002-11-06 12:00:00,24.7591172096466,0.206,38.696
2002-11-07 12:00:00,29.4754365311223,5.062,38.32
2002-11-08 12:00:00,32.0741930602924,0.986,38.078
2002-11-09 12:00:00,27.2447017493289,0.242,37.784
2002-11-10 12:00:00,29.25282624109,0.93,37.668
2002-11-11 12:00:00,31.380891262812,0.292,37.374
2002-11-12 12:00:00,29.3947081029023,0.24,37.144
2002-11-13 12:00:00,16.0387842287513,0.19,36.736
2002-11-14 12:00:00,29.3285870745151,4.04,36.16
2002-11-15 12:00:00,23.42647872327,0.196,36.442
2002-11-16 12:00:00,14.0300757407715,0.18,35.494
2002-11-17 12:00:00,9.68401481070307,0.858,35.302
2002-11-18 12:00:00,25.4906274822575,3.642,35.63
2002-11-19 12:00:00,24.3890067454477,0.892,34.972
2002-11-20 12:00:00,18.7103744157255,0.19,34.662
2002-11-21 12:00:00,11.4779712800323,0.184,34.248
2002-11-22 12:00:00,18.5360658857179,0.188,34.794
2002-11-23 12:00:00,28.6814237495414,8.088,34.542
2002-11-24 12:00:00,27.1991898756534,3.908,34.766
2002-11-25 12:00:00,21.908071114734,0.206,33.564
2002-11-26 12:00:00,22.4731891289539,0.79,33.37
2002-11-27 12:00:00,25.457273225581,0.37,33.508
2002-11-28 12:00:00,20.6098675576901,0.498,33.198
2002-11-29 12:00:00,25.9666255306795,1.74,33.762
2002-11-30 12:00:00,18.6843070612734,0.276,33.612
2002-12-01 12:00:00,25.9099632799129,0.2,33.382
2002-12-02 12:00:00,23.9585215260857,0.268,32.692
2002-12-03 12:00:00,27.8191868177154,0.92,32.754
2002-12-04 12:00:00,17.9124454082527,0.154,32.572
2002-12-05 12:00:00,21.8514130460379,0.73,32.978
2002-12-06 12:00:00,13.6583975899049,0.162,32.808
2002-12-07 12:00:00,24.0266874495289,0.252,32.134
2002-12-08 12:00:00,23.8489381600697,0.25,32.21
2002-12-09 12:00:00,10.5285471635258,0.148,31.684
2002-12-10 12:00:00,15.1258906760524,0.144,32.498
2002-12-11 12:00:00,20.1907448032673,0.162,31.824
2002-12-12 12:00:00,19.2772744383983,0.714,32.254
2002-12-13 12:00:00,11.7414144389456,0.142,32.18
2002-12-14 12:00:00,15.0613959172688,0.318,31.898
2002-12-15 12:00:00,19.3246357052989,0.254,32.152
2002-12-16 12:00:00,27.7842453819975,6.69,32.364
2002-12-17 12:00:00,23.9037844877979,0.196,32.168
2002-12-18 12:00:00,16.2855063401758,0.148,31.706
2002-12-19 12:00:00,24.6162643397813,0.694,31.926
2002-12-20 12:00:00,16.6389961408953,0.14,31.768
2002-12-21 12:00:00,27.1632807055172,6.656,32.276
2002-12-22 12:00:00,25.7081722507379,0.882,32.04
2002-12-23 12:00:00,25.5946251293397,0.796,31.932
2002-12-24 12:00:00,16.9336106547551,0.144,31.882
2002-12-25 12:00:00,20.5235264852925,0.192,30.338
2002-12-26 12:00:00,23.6412542924546,2.234,32.072
2002-12-27 12:00:00,23.4643790395503,7.812,31.318
2002-12-28 12:00:00,26.0647770530822,0.722,32.132
2002-12-29 12:00:00,27.6695699308726,14.896,32.17
2002-12-30 12:00:00,26.0077819255421,7.126,32.22
2002-12-31 12:00:00,21.418895454182,0.248,32.11
2003-01-01 12:00:00,17.4954648722781,0.162,31.664
2003-01-02 12:00:00,24.4133555223818,0.724,32.314
2003-01-03 12:00:00,8.35539705350404,0.144,29.954
2003-01-04 12:00:00,24.062935698336,0.732,32.706
2003-01-05 12:00:00,24.0548490465557,2.332,32.322
2003-01-06 12:00:00,26.5446403714248,0.724,32.83
2003-01-07 12:00:00,23.2488347727225,0.584,32.854
2003-01-08 12:00:00,28.6839504506968,5.382,32.992
2003-01-09 12:00:00,28.7663579386542,11.082,33.314
2003-01-10 12:00:00,21.4927892575226,0.174,32.802
2003-01-11 12:00:00,26.5912927151315,0.922,33.422
2003-01-12 12:00:00,19.3169636549383,0.646,32.834
2003-01-13 12:00:00,13.2095074474975,0.764,33.078
2003-01-14 12:00:00,19.0215211427064,0.222,31.722
2003-01-15 12:00:00,26.5179850871807,0.782,34.05
2003-01-16 12:00:00,25.2137680056888,0.324,34.22
2003-01-17 12:00:00,17.0062391494589,0.168,34.12
2003-01-18 12:00:00,17.9744596259709,0.214,33.592
2003-01-19 12:00:00,25.6992922499575,2.116,34.766
2003-01-20 12:00:00,29.199302516485,3.268,34.978
2003-01-21 12:00:00,28.0013420440565,0.23,35.208
2003-01-22 12:00:00,21.6230440117746,0.62,35.554
2003-01-23 12:00:00,14.0573623306792,0.17,35.236
2003-01-24 12:00:00,9.86381762355415,0.43,35.224
2003-01-25 12:00:00,24.0440128290871,0.552,35.342
2003-01-26 12:00:00,23.1974867643214,0.21,35.602
2003-01-27 12:00:00,25.5595682356256,0.198,36.034
2003-01-28 12:00:00,26.2913020279583,4.818,36.118
2003-01-29 12:00:00,26.8650535461217,0.894,36.75
2003-01-30 12:00:00,26.2229292882028,0.226,36.514
2003-01-31 12:00:00,30.0884088953559,0.94,37.22
2003-02-01 12:00:00,27.152551399156,0.228,37.602
2003-02-02 12:00:00,33.47386775594,9.31,37.928
2003-02-03 12:00:00,32.6430884960218,4.038,38.12
2003-02-04 12:00:00,24.0081074460507,0.202,37.984
2003-02-05 12:00:00,23.774424714159,1.096,38.502
2003-02-06 12:00:00,21.5849486851265,0.208,38.334
2003-02-07 12:00:00,22.9685900865857,0.802,39.28
2003-02-08 12:00:00,14.7570956916444,0.234,38.958
2003-02-09 12:00:00,17.4987661473493,0.224,39.49
2003-02-10 12:00:00,26.8081132599241,0.222,39.982
2003-02-11 12:00:00,35.042203074868,5.392,40.232
