adjPAR,dateTimeEST
126.1655018,6/15/22 7:55
112.1044894,6/15/22 7:55
83.83191995,6/15/22 7:56
106.5201095,6/15/22 7:56
170.0676137,6/15/22 7:56
132.0397933,6/15/22 7:56
126.3671237,6/15/22 7:56
124.3653189,6/15/22 7:56
140.2998233,6/15/22 7:56
69.99161723,6/15/22 7:56
59.28215407,6/15/22 7:56
91.30838491,6/15/22 7:56
63.09133913,6/15/22 7:56
94.79981087,6/15/22 7:56
243.5874478,6/15/22 7:58
353.9398998,6/15/22 7:58
197.7678073,6/15/22 7:58
217.4792038,6/15/22 7:58
383.3571674,6/15/22 7:58
190.028424,6/15/22 7:58
199.3531052,6/15/22 7:58
350.8450686,6/15/22 7:58
302.911038,6/15/22 7:58
152.8123211,6/15/22 7:58
0.88792184,6/15/22 8:00
0.944221245,6/15/22 8:00
1.050002354,6/15/22 8:00
0.932980696,6/15/22 8:00
1.02760989,6/15/22 8:00
1.016187636,6/15/22 8:00
1.011331333,6/15/22 8:00
1.084942292,6/15/22 8:00
0.935965026,6/15/22 8:00
1.04082119,6/15/22 8:00
2.088016671,6/15/22 8:02
2.159220867,6/15/22 8:02
2.079697926,6/15/22 8:02
2.08302144,6/15/22 8:02
2.106435226,6/15/22 8:02
2.108117675,6/15/22 8:02
2.059867906,6/15/22 8:02
2.222182544,6/15/22 8:02
2.059867906,6/15/22 8:02
2.103074355,6/15/22 8:02
3.497263973,6/15/22 8:04
3.341674908,6/15/22 8:04
3.333680508,6/15/22 8:04
3.547886725,6/15/22 8:04
3.231477161,6/15/22 8:04
3.347015156,6/15/22 8:04
3.309811877,6/15/22 8:04
2.873625819,6/15/22 8:04
3.218602822,6/15/22 8:04
3.058271143,6/15/22 8:04
3.317749038,6/15/22 8:06
3.403605622,6/15/22 8:06
3.428150645,6/15/22 8:06
3.336343181,6/15/22 8:06
3.417219969,6/15/22 8:06
3.419949366,6/15/22 8:06
3.355041534,6/15/22 8:06
3.328361536,6/15/22 8:06
3.444612251,6/15/22 8:06
3.312455485,6/15/22 8:06
3.371152078,6/15/22 8:08
3.365773319,6/15/22 8:08
3.333680508,6/15/22 8:08
3.455630547,6/15/22 8:08
3.323051051,6/15/22 8:08
3.516864197,6/15/22 8:08
3.37384468,6/15/22 8:08
3.447363527,6/15/22 8:08
3.403605622,6/15/22 8:08
3.519673182,6/15/22 8:08
16.80430318,6/15/22 8:10
14.09735278,6/15/22 8:10
12.00722641,6/15/22 8:10
16.51171616,6/15/22 8:10
24.49526203,6/15/22 8:10
17.50266905,6/15/22 8:10
15.664168,6/15/22 8:10
15.00318062,6/15/22 8:10
13.95179029,6/15/22 8:10
14.67150277,6/15/22 8:10
14.5780916,6/15/22 8:12
18.23005813,6/15/22 8:12
16.38041151,6/15/22 8:12
17.02034499,6/15/22 8:12
16.36733861,6/15/22 8:12
16.56453225,6/15/22 8:12
17.43293768,6/15/22 8:12
17.57267933,6/15/22 8:12
17.21165877,6/15/22 8:12
17.25293354,6/15/22 8:12
29.22212341,6/15/22 8:14
17.71354115,6/15/22 8:14
13.86296142,6/15/22 8:14
18.82164938,6/15/22 8:14
21.25016252,6/15/22 8:14
21.0475412,6/15/22 8:14
19.80838552,6/15/22 8:14
20.36971732,6/15/22 8:14
19.69798921,6/15/22 8:14
20.20773303,6/15/22 8:14
230.7153774,6/15/22 8:16
252.4981693,6/15/22 8:16
250.2903391,6/15/22 8:16
236.1195898,6/15/22 8:16
235.1788795,6/15/22 8:16
252.9016804,6/15/22 8:16
229.0634914,6/15/22 8:16
247.9038086,6/15/22 8:16
238.0123139,6/15/22 8:16
240.1118387,6/15/22 8:16
241.2648297,6/15/22 8:18
223.642149,6/15/22 8:18
218.5235153,6/15/22 8:18
229.429552,6/15/22 8:18
210.1395931,6/15/22 8:18
209.4695619,6/15/22 8:18
201.7549108,6/15/22 8:18
186.7197566,6/15/22 8:18
187.3170179,6/15/22 8:18
172.391643,6/15/22 8:18
106.0110559,6/15/22 8:20
104.7490398,6/15/22 8:20
106.1804695,6/15/22 8:20
104.9164367,6/15/22 8:20
104.8327048,6/15/22 8:20
105.2520333,6/15/22 8:20
102.3515849,6/15/22 8:20
105.3361001,6/15/22 8:20
103.0074171,6/15/22 8:20
103.1720307,6/15/22 8:20
91.16270006,6/15/22 8:22
91.30838491,6/15/22 8:22
89.50393823,6/15/22 8:22
90.58228139,6/15/22 8:22
91.16270006,6/15/22 8:22
89.36113242,6/15/22 8:22
90.79950406,6/15/22 8:22
90.43775505,6/15/22 8:22
90.2213978,6/15/22 8:22
91.08994482,6/15/22 8:22
180.1303711,6/15/22 8:24
177.2768928,6/15/22 8:24
183.7618946,6/15/22 8:24
184.9393747,6/15/22 8:24
178.555321,6/15/22 8:24
178.2704314,6/15/22 8:24
173.6348413,6/15/22 8:24
169.3900572,6/15/22 8:24
163.6733861,6/15/22 8:24
154.1602903,6/15/22 8:24
114.0909769,6/15/22 8:26
115.3733938,6/15/22 8:26
114.8220309,6/15/22 8:26
115.7424391,6/15/22 8:26
114.8220309,6/15/22 8:26
115.0055251,6/15/22 8:26
116.112665,6/15/22 8:26
116.5771131,6/15/22 8:26
114.5473383,6/15/22 8:26
116.9500088,6/15/22 8:26
242.4233572,6/15/22 8:28
234.9911877,6/15/22 8:28
252.4981693,6/15/22 8:28
260.6920932,6/15/22 8:28
240.1118387,6/15/22 8:28
254.5221834,6/15/22 8:28
256.9724279,6/15/22 8:28
240.8798855,6/15/22 8:28
260.0684309,6/15/22 8:28
260.2761524,6/15/22 8:28
282.1338416,6/15/22 8:30
260.9003129,6/15/22 8:30
252.9016804,6/15/22 8:30
265.9477836,6/15/22 8:30
256.3576642,6/15/22 8:30
268.5080205,6/15/22 8:30
251.0909439,6/15/22 8:30
259.8608751,6/15/22 8:30
268.7224828,6/15/22 8:30
237.6325592,6/15/22 8:30
249.8909945,6/15/22 8:32
237.4429091,6/15/22 8:32
